"Date","series","OPEN","HIGH","LOW","PREV.CLOSE","ltp","close","vwap","52W H","52W L","VOLUME","VALUE","No of trades"
"01-Nov-2019","EQ","227.70","239.50","227.50","228.00","236.80","237.60","234.49","359.90","201.75",9208037,"2,159,187,367.55",61820
"31-Oct-2019","EQ","235.70","236.50","227.05","234.40","227.70","228.00","232.67","359.90","201.75",6994856,"1,627,492,450.70",50711
"30-Oct-2019","EQ","236.95","236.95","231.25","234.25","234.50","234.40","233.84","359.90","201.75",5246865,"1,226,934,902.50",35316
"29-Oct-2019","EQ","219.60","236.40","219.60","219.35","234.00","234.25","230.58","359.90","201.75",13887709,"3,202,270,046.05",91597
"27-Oct-2019","EQ","218.00","221.40","218.00","217.35","219.45","219.35","219.33","368.85","201.75",756987,"166,030,911.10",5642
"25-Oct-2019","EQ","222.50","224.15","216.10","222.85","216.80","217.35","221.30","368.85","201.75",8612440,"1,905,966,271.20",45771
"24-Oct-2019","EQ","215.20","225.10","215.20","222.70","223.70","222.85","222.12","368.85","201.75",15890442,"3,529,532,873.80",83437
"23-Oct-2019","EQ","218.60","224.80","215.75","219.70","224.35","222.70","220.32","368.85","201.75",8030559,"1,769,311,349.20",51366
"22-Oct-2019","EQ","223.00","225.90","219.20","223.35","219.50","219.70","222.64","368.85","201.75",8305579,"1,849,131,628.50",47356
"18-Oct-2019","EQ","222.10","225.20","220.30","222.95","222.15","223.35","223.30","385.20","201.75",9026105,"2,015,527,828.60",46096
"17-Oct-2019","EQ","218.30","224.70","214.35","220.30","223.75","222.95","218.47","385.20","201.75",10798747,"2,359,161,285.70",65257
"16-Oct-2019","EQ","222.25","223.65","218.45","219.65","219.75","220.30","220.51","385.20","201.75",7753169,"1,709,664,069.30",58753
"15-Oct-2019","EQ","221.00","226.90","214.25","221.45","219.50","219.65","219.53","385.20","201.75",14900735,"3,271,119,815.60",94504
"14-Oct-2019","EQ","218.80","225.00","218.35","217.25","221.50","221.45","222.65","385.20","201.75",7515730,"1,673,348,396.10",43213
"11-Oct-2019","EQ","215.00","220.90","212.80","213.75","216.35","217.25","216.62","385.20","201.75",8965423,"1,942,071,419.20",52633
"10-Oct-2019","EQ","211.30","214.90","209.10","212.80","212.95","213.75","212.17","385.20","201.75",6693227,"1,420,104,245.65",38136
"09-Oct-2019","EQ","207.30","213.75","205.95","208.00","213.30","212.80","210.25","385.20","201.75",5958422,"1,252,768,270.70",43644
"07-Oct-2019","EQ","214.90","215.80","207.00","214.65","208.05","208.00","211.99","385.20","201.75",7420654,"1,573,116,274.40",48468
"04-Oct-2019","EQ","222.30","223.90","212.45","221.55","213.00","214.65","218.97","387.50","201.75",6600815,"1,445,367,382.45",43718
"03-Oct-2019","EQ","220.95","225.70","218.30","222.65","220.20","221.55","222.79","387.50","201.75",5324110,"1,186,153,759.45",42057
"01-Oct-2019","EQ","229.10","231.75","220.40","229.95","223.20","222.65","226.25","387.50","201.75",6026952,"1,363,616,838.40",35459
"30-Sep-2019","EQ","228.00","231.00","222.50","232.20","228.70","229.95","226.75","387.50","201.75",6783701,"1,538,170,787.90",42739
"27-Sep-2019","EQ","233.60","236.50","230.60","235.45","231.20","232.20","233.53","414.00","201.75",7000789,"1,634,901,003.55",37917
"26-Sep-2019","EQ","236.00","237.80","231.25","234.40","235.55","235.45","234.75","414.00","201.75",8069927,"1,894,422,072.45",63627
"25-Sep-2019","EQ","233.50","235.75","228.30","233.35","233.60","234.40","231.86","414.00","201.75",7594921,"1,760,921,626.80",56227
"24-Sep-2019","EQ","241.95","242.00","232.50","243.70","233.50","233.35","236.38","414.00","201.75",9073501,"2,144,765,892.40",54593
"23-Sep-2019","EQ","252.95","252.95","237.40","238.10","240.15","243.70","242.36","414.00","201.75",13040988,"3,160,573,914.30",82379
"20-Sep-2019","EQ","220.65","240.20","218.25","219.55","234.50","238.10","231.62","427.55","201.75",23899821,"5,535,580,284.95",134472
"19-Sep-2019","EQ","220.15","221.60","215.25","221.40","220.50","219.55","218.75","427.55","201.75",9020768,"1,973,312,470.35",63162
"18-Sep-2019","EQ","217.55","223.55","217.25","216.20","220.90","221.40","221.04","427.55","201.75",9790812,"2,164,180,490.25",47994
"17-Sep-2019","EQ","224.40","229.00","214.80","225.65","215.80","216.20","222.96","427.55","201.75",9403320,"2,096,542,479.00",67569
"16-Sep-2019","EQ","222.50","227.50","222.50","226.20","225.50","225.65","225.33","427.55","201.75",5494139,"1,238,009,881.75",41744
"13-Sep-2019","EQ","222.05","227.60","219.10","222.05","226.50","226.20","222.61","427.55","201.75",8639132,"1,923,169,083.80",40538
"12-Sep-2019","EQ","228.00","232.25","221.20","227.70","221.70","222.05","226.86","427.55","201.75",9281462,"2,105,565,559.60",67290
"11-Sep-2019","EQ","220.40","228.95","220.15","219.50","227.80","227.70","226.80","427.55","201.75",11404495,"2,586,487,030.85",57656
"09-Sep-2019","EQ","218.00","224.50","213.85","217.95","219.35","219.50","219.89","427.55","201.75",9829589,"2,161,417,243.85",48779
"06-Sep-2019","EQ","217.40","219.35","212.25","216.25","217.30","217.95","215.29","427.55","201.75",8494436,"1,828,757,315.65",38497
"05-Sep-2019","EQ","217.10","222.30","213.50","214.80","216.50","216.25","218.64","427.55","201.75",10360712,"2,265,294,367.95",59882
"04-Sep-2019","EQ","208.85","216.05","207.50","210.15","215.30","214.80","211.64","427.55","201.75",8097106,"1,713,691,518.95",44988
"03-Sep-2019","EQ","214.00","215.50","209.30","217.45","209.60","210.15","212.46","427.55","201.75",5563093,"1,181,907,801.15",39587
"30-Aug-2019","EQ","215.00","218.95","211.25","211.95","218.00","217.45","215.17","427.55","201.75",10442126,"2,246,799,272.00",70976
"29-Aug-2019","EQ","203.80","214.55","201.75","205.75","212.00","211.95","207.57","427.55","201.75",18785875,"3,899,344,020.35",101946
"28-Aug-2019","EQ","214.00","214.25","202.80","213.40","205.25","205.75","208.11","427.55","202.80",9056214,"1,884,718,251.70",67745
"27-Aug-2019","EQ","217.40","217.50","212.80","214.10","213.50","213.40","215.10","427.55","206.30",12287346,"2,643,025,416.15",97800
"26-Aug-2019","EQ","222.15","225.00","206.30","220.65","213.90","214.10","212.26","427.55","206.30",13555325,"2,877,311,411.45",95211
"23-Aug-2019","EQ","214.50","223.60","213.75","217.00","221.70","220.65","220.09","427.55","208.75",4978377,"1,095,707,260.05",43683
"22-Aug-2019","EQ","215.00","220.40","212.80","219.00","216.10","217.00","216.93","427.55","208.75",6938275,"1,505,088,027.50",46163
"21-Aug-2019","EQ","223.50","226.00","217.70","224.85","219.00","219.00","222.06","427.55","208.75",5016435,"1,113,936,444.20",26568
"20-Aug-2019","EQ","225.05","226.10","221.65","226.20","224.55","224.85","223.75","427.55","208.75",5107078,"1,142,733,200.20",31350
"19-Aug-2019","EQ","228.30","230.85","224.75","227.15","225.05","226.20","227.09","427.55","208.75",4394801,"998,026,675.90",30718
"16-Aug-2019","EQ","226.35","228.95","221.60","227.75","228.45","227.15","225.28","427.55","208.75",6083438,"1,370,491,200.70",52060
"14-Aug-2019","EQ","222.60","229.90","220.75","220.15","227.30","227.75","225.62","427.55","208.75",6940915,"1,566,021,539.30",49995
"13-Aug-2019","EQ","217.60","224.45","216.45","220.60","220.00","220.15","221.06","427.55","208.75",6628569,"1,465,287,749.35",48429
"09-Aug-2019","EQ","221.70","228.45","219.30","221.70","219.50","220.60","224.75","427.55","208.75",9077239,"2,040,082,856.60",57376
"08-Aug-2019","EQ","213.30","222.85","208.75","212.25","222.85","221.70","216.62","427.55","208.75",8752577,"1,895,997,879.15",57915
"07-Aug-2019","EQ","217.70","217.80","210.60","217.55","210.85","212.25","213.69","427.55","210.60",7073513,"1,511,512,055.10",50483
"06-Aug-2019","EQ","214.60","221.45","214.15","217.70","216.70","217.55","218.89","427.55","212.25",6703116,"1,467,273,188.70",49751
"05-Aug-2019","EQ","220.80","221.25","212.25","225.15","218.60","217.70","217.45","427.55","212.25",7681043,"1,670,228,461.45",58439
"02-Aug-2019","EQ","223.00","230.45","217.80","225.25","224.45","225.15","224.53","427.55","217.80",11444553,"2,569,635,261.25",85777
"01-Aug-2019","EQ","235.10","235.80","222.70","237.45","225.55","225.25","228.25","427.55","220.00",7768510,"1,773,148,991.00",68183
"31-Jul-2019","EQ","228.35","238.30","226.10","230.25","236.90","237.45","234.65","427.55","220.00",5983362,"1,404,011,409.35",50236
"30-Jul-2019","EQ","243.05","248.00","220.00","241.40","231.00","230.25","238.95","427.55","220.00",8938349,"2,135,818,880.80",62188
"29-Jul-2019","EQ","245.85","246.25","236.85","249.70","243.40","241.40","240.94","427.55","236.85",7935024,"1,911,852,681.25",55976
